Image_name,FL,FRHL,ETL,MEL,BEL,LIPL_L,JL,FLL,FLR,DFL_L_R,DFL_R_L,NWL,L_L,L_W,LEL,LEW,REL,REW,FA
Features,Face lenght,Fore head lenght,lenght from left to right ear tips,lenght from left to right mid ears,lenght from left to right bottom ears,length through lip,Chick bones lenght,Face length left,Face length right,Digonal face length left to right,Digonal face length right to left,nose width,lip length,lip width,left eye lenght,left eye width,right eye lenght,right eye width,facial_area
AnselElgrot.jpg,770.9299579079801,578.8825442177368,679.395319383347,685.613593797556,642.3931817819987,602.5163898185675,472.95877198758035,665.2773857572494,635.7082664241515,687.0123725232319,747.9465221524865,142.0211251891774,303.48640826238,71.386273190299,150.0966355385756,62.12889826803627,138.43771162512041,58.180752831155424,110998910.5
